,hp_name,COP A2/W35,Heat output A2/W35 (kW)
0,AerThermie-Eureka EU13L,5.05,15.0
1,AerThermie-Eureka EU08L,5.19,10.3
2,Hoval AG-Belaria pro (24),4.9,14.5
3,Hoval AG-Belaria pro comfort (15),4.7,8.7
4,SOLTOP Energie AG-WPLK 722,4.1,21.8
5,Hoval AG-UltraSource B comfort C (17),4.5,11.3
6,Hoval AG-Belaria pro comfort (8),4.6,3.5
7,Hoval AG-Belaria pro compact (8/100/270),4.6,3.5
8,SOLTOP Energie AG-WPLK 1030,2.87,31.0
9,Buderus-WLW196i.2-6kW AR,4.16,9.0
10,Hoval AG-UltraSource B comfort C (8),4.4,3.9
11,Hoval AG-UltraSource B compact C (8/200),4.4,3.9
12,Hoval AG-Belaria pro comfort (13),4.6,5.3
13,Hoval AG-Belaria pro compact (13/100/270),4.6,5.3
14,Müba Energietechnik AG-Adapt 0416,4.49,8.41
15,AerThermie-AirCube 08,4.35,10.1
16,Ochsner Wärmepumpen GmbH-OCHSNER AIR HAWK 518,3.87,4.83
17,Buderus-WLW196i.2-6kW AR S+,4.25,7.3
18,Vaillant GmbH-aroTHERM plus VWL 65/6,4.1,3.1
19,Buderus-WLW196i.2-4kW AR S+,4.25,5.5
20,Swisstherm AG-AWX 16 Dynamic,4.32,16.0
21,Swisstherm AG-AWX 16 Dynamic AC,4.32,16.0
22,SOLTOP Energie AG-WPLK 412,3.84,11.8
23,Müba Energietechnik AG-Adapt 0724,4.17,12.43
24,Buderus-WLW196i.2 14kW IR,4.0,16.0
25,CTA AG-Aeroheat Inverta AH CM 18a,4.4,8.8
26,AerThermie-AirCube 12,4.28,12.1
27,Buderus-WLW196i.2-8kW AR,4.25,6.3
28,Vaillant GmbH-aroTHERM plus VWL 105/6,4.6,5.8
29,Stiebel Eltron AG-WPL 20 AC,4.0,6.83
30,Stiebel Eltron AG-WPL-A 07 HK 230 Premium,4.3,4.3
31,Regli Energy Systems AG-NovaAir 4-16,4.62,15.7
32,Swisstherm AG-AWX 8 Dynamic,4.11,8.0
33,Swisstherm AG-AWI 16 Dynamic,4.21,15.0
34,Swisstherm AG-AWI 16 Dynamic AC,4.21,15.0
35,Swisstherm AG-AWX 8 Dynamic AC,4.11,8.0
36,Buderus-WLW196i.2-14kW AR,4.04,14.4
37,Domotec AG-HPSU HT-CU 14-DB,4.09,9.91
38,Domotec AG-HPSU HT-CU 16-DB,4.09,11.33
39,Domotec AG-HPSU HT-CU 18-DB,4.09,12.74
40,Swisstherm AG-AWI 8 Dynamic,4.12,10.0
41,Swisstherm AG-AWI 8 Dynamic AC,4.12,10.0
42,Müba Energietechnik AG-Adapt 0312,4.47,6.56
43,Buderus-LI 16I-TUR,4.2,6.0
44,Stiebel Eltron AG-WPL 25 AC,4.17,8.33
45,CTA AG-Aeroheat AH CN I 9a,4.61,8.2
46,Domotec AG-HPSU HT-BU 14,4.09,9.91
47,Domotec AG-HPSU HT-BU 16,4.09,11.33
48,Domotec AG-HPSU HT-BU 18,4.09,12.74
49,Stiebel Eltron AG-WPL 20 A,4.0,6.83
50,Stiebel Eltron AG-WPL-A 05 HK 230 Premium,4.6,2.92
51,Buderus-WLW196i.2 6kW IR,4.13,7.6
52,Vaillant GmbH-versoTHERM VWL 57/5,4.0,3.3
53,Stiebel Eltron AG-WPL 25 A,4.17,8.33
54,Vaillant GmbH-aroTHERM plus VWL 125/6,4.6,5.9
55,Ochsner Wärmepumpen GmbH-OCHSNER AIR 18,4.4,13.2
56,Stiebel Eltron AG-WPL 19 - I,4.12,7.41
57,Stiebel Eltron AG-WPL 19 - A,4.12,7.41
58,Vaillant GmbH-aroTHERM plus VWL 75/6,4.1,3.1
59,Hoval AG-Belaria comfort ICM (8),4.3,3.9
60,Stiebel Eltron AG-WPL 24 - I,4.0,9.04
61,Stiebel Eltron AG-WPL 24 - A,4.0,9.04
62,Vaillant GmbH-aroTHERM VWL 35/5 AS,3.8,2.5
63,Hoval AG-Belaria comfort ICM (13),4.1,7.1
64,CTA AG-Aeroheat Inverta AH CI 8is,4.1,4.3
65,CTA AG-Aeroheat Inverta AH CI 8i,4.1,4.3
66,CTA AG-Aeroheat Inverta AH CI 8a,4.1,4.3
67,SOLTOP Energie AG-WPL 412,3.76,11.82
68,SOLTOP Energie AG-WPLK 618,3.75,17.2
69,CTA AG-Aeroheat Inverta AH SCI 25a,4.1,12.1
70,SOLTOP Energie AG-WPL 618,3.68,17.23
71,Domotec AG-HPSU CU 308/08-P,3.34,7.22
72,Domotec AG-HPSU CU 508/08-P,3.34,7.22
73,Domotec AG-HPSU BU 08,3.34,7.22
74,Buderus-LA 18S-TU,3.8,12.3
75,Buderus-WLW196i.2 11kW IR,4.1,13.1
76,Buderus-WLW196i.2-11kW AR,3.64,11.7
77,Stiebel Eltron AG-WPL 09 ICS classic,3.83,2.64
78,Vaillant GmbH-aroTHERM VWL 105/5 AS,3.9,8.3
79,Hoval AG-UltraSource B comfort C (11),4.4,5.9
80,Hoval AG-UltraSource B compact C (11/200),4.4,5.9
81,Domotec AG-HPSU CU 304/04-P,3.66,5.46
82,Domotec AG-HPSU CU 308/06-P,3.55,6.17
83,Domotec AG-HPSU CU 504/04-P,3.66,5.46
84,Domotec AG-HPSU CU 508/06-P,3.55,6.17
85,Domotec AG-HPSU BU 04,3.66,5.46
86,Domotec AG-HPSU BU 06,3.55,6.17
87,Buderus-LIK 12TU,4.2,9.4
88,Buderus-WLW196i.2 8kW IR,4.2,10.7
89,Stiebel Eltron AG-WPL 09 IKCS classic,3.76,2.62
90,Ochsner Wärmepumpen GmbH-OCHSNER AIR HAWK 208,4.22,2.49
91,Stiebel Eltron AG-WPL-S 18 HK 400 Premium,4.2,21.8
92,CTA AG-Aeroheat Inverta AH CI 12is,3.9,6.5
93,CTA AG-Aeroheat Inverta AH CI 12i,3.9,6.5
94,CTA AG-Aeroheat Inverta AH CI 12a,3.9,6.5
95,Vaillant GmbH-flexoTHERM exclusive VWF 157/4,4.1,13.9
96,Vaillant GmbH-aroTHERM VWL 125/5 AS,3.7,8.3
97,Vaillant GmbH-aroTHERM VWL 55/5 AS,3.8,3.5
98,Buderus-LA 9S-TU,4.2,7.2
99,Vaillant GmbH-aroTHERM VWL 75/5 AS,3.8,4.6
100,Ochsner Wärmepumpen GmbH-OCHSNER AIR 23,4.2,17.2
101,Vaillant GmbH-flexoTHERM exclusive VWF 57/4,4.1,5.6
102,Stiebel Eltron AG-WPL-S 25 HK 400 Premium,4.1,30.3
103,Stiebel Eltron AG-WPL 17 ICS classic,3.83,5.02
104,Buderus-LA12S-TU,4.0,9.5
105,Vaillant GmbH-flexoTHERM exclusive VWF 87/4,3.9,7.8
106,Vaillant GmbH-versoTHERM VWL 77/5,4.0,4.1
107,CTA AG-Aeroheat Inverta AH CI 1-16a,4.2,8.1
108,CTA AG-Aeroheat Inverta AH CI 1-16i,4.2,8.1
109,CTA AG-Aeroheat Inverta AH CI 1-16i-L,4.2,8.1
110,CTA AG-Aeroheat AH CN 5a,3.8,5.6
111,Ochsner Wärmepumpen GmbH-OCHSNER AIR 11,4.0,8.8
112,Vaillant GmbH-flexoTHERM exclusive VWF 117/4,3.9,10.3
113,Stiebel Eltron AG-WPL 17 IKCS classic,3.7,4.95
114,Stiebel Eltron AG-WPL 15 ACS,3.88,4.23
115,Vaillant GmbH-flexoTHERM exclusive VWF 197/4,3.7,17.4
116,CTA AG-Aeroheat CS 1-14i,3.7,13.8
117,CTA AG-Aeroheat CS 1-14a,3.7,13.8
118,CTA AG-Aeroheat AH CN 7a,3.8,7.7
119,Buderus-LA 35TBS,3.4,23.7
120,CTA AG-Aeroheat AH CN 9a,3.6,9.0
