hp_name,COP A2/W35,Heat output A2/W35 (kW),price
SOLTOP Energie AG-WPLK 1030,2.87,31.0,30000.0
Viessmann Vitocal 350-A AWI 120, 3.2, 18.5, 14805.0
Domotec AG-HPSU HT-BU 14,4.09,9.91,18175.0
Swisstherm AG-AWX 16 Dynamic,4.32,16.0,25340.0
Stiebel Eltron WPL 57 A, 3.3, 29.92, 21284.0
Dimplex HPL 18S-TUW, 4.3, 7.3, 18249.8
Vaillant GmbH-flexoTHERM exclusive VWF 57/4,4.1,5.6,12930.55
Domotec AG-HPSU CU 304/04-P,3.66,5.46,16025.0
Stiebel Eltron AG-WPL 09 IKCS classic,3.76,2.62,17316.4
Vaillant GmbH-versoTHERM VWL 77/5,4.0,4.1,17108.64
Stiebel Eltron AG-WPL 19 - A,4.12,7.41,20005.37
CTA AG-Aeroheat Inverta AH CI 1-16a,4.2,8.1,22104.95
Buderus-WLW196i.2-4kW AR S+,4.25,5.5,15066.6
Hoval AG-Belaria pro compact (8/100/270),4.6,3.5,20983.2
Hoval AG-Belaria pro (24),4.9,14.5,31680.0

